,name,url,start date,end date,address,city,zip
0,Chestnut Square Public Tours,http://www.chestnutsquare.org,2016-11-01,2021-12-31,315 S. Chestnut Street,McKinney,75069
1,Third Monday Trade Days,http://www.thirdmondaytradedays.com,2020-10-15,2021-10-17,4550 W. University,McKinney,75070
2,River City Ghosts,http://rivercityghosts.com/,2020-10-21,2021-12-31,N. St. Mary’s St,San Antonio,78205
3,Devil's Bowl Speedway,http://www.visitmesquitetx.com/events/2019/devils-bowl-speedway,2021-03-11,2021-10-16,1711 Lawson Road,Mesquite,75181
4,Downtown Bluebonnet Market,http://ennistx.com/farmers-market,2021-04-03,2021-10-30,100 N.Dallas St.,Ennis,75119
5,Historic McKinney Farmers Market,http://www.chestnutsquare.org/,2021-04-03,2021-11-27,315 S. Chestnut,McKinney,75069
6,GRUENE LOKAL MARKETPLATZ,N/A,2021-04-03,2021-12-04,"1720 Hunter Rd, New Braunfels, TX 78130",New Braunfels,78130
7,17th Annual Sculpture Garden Exhibit,http://www.artscouncilwf.org/sculpture-garden/,2021-05-08,2022-05-05,1300 Lamar,Wichita Falls,76301
8,Texas Nessie Plesiosaur Fossil Exhibit,http://www.heardmuseum.org,2021-05-13,2022-12-31,1 Nature Place,McKinney,75069
9,Matera Vendor Market,N/A,2021-06-05,2021-11-06,833 S. 1st St.,Abilene,79602
10,The Downtown Abilene Walking Tour,http://www.downtownabiwalk.com/,2021-06-12,2021-12-11,Vera Minter Park - 233 Cypress St.,Abilene,79601
11,Downtown Mesquite Farmers Market,http://www.visitmesquitetx.com/events/2020/downtown-mesquite-farmers-market,2021-06-12,2021-12-04,W Front Street,Mesquite,75149
12,Special Exhibition: The Book Smugglers,http://www.dhhrm.org/exhibitions/the-book-smugglers/,2021-06-23,2022-01-02,300 N. Houston Street,Dallas,75202
13,Opal Lawrence Park Free Saturday,http://www.visitmesquitetx.com/events/2020/opal-lawrence-park-free-saturday,2021-06-26,2021-11-27,1527 N Galloway Ave,Mesquite,75149
14,2021 Old Gruene Market Days,http://gruenemarketdays.com/,2021-07-17,2021-12-05,"1720 Hunter Rd, New Braunfels, TX 78130",New Braunfels,78130
15,Railroad Heritage Museum,N/A,2021-09-01,2021-11-30,808 W. Oak,Palestine,75801
16,Railroad Heritage Center,N/A,2021-09-01,2021-11-30,808 W. Oak,Palestine,75801
17,Dinosaurs Live! Life-Size Animatronic Dinosaurs,http://www.heardmuseum.org,2021-09-04,2022-02-21,1 Nature Place,McKinney,75069
18,Saturdays On Main,N/A,2021-09-04,2021-11-06,Palestine Main Street,Palestine,75801
19,Saturdays On Main,N/A,2021-09-04,2021-11-06,Palestine Main Street,Palestine,75801
20,Audubon's Quadrupeds: His Last Project,http://www.noelartmuseum.org,2021-09-09,2022-01-16,4909 E University Blvd,Odessa,79762
21,Finding Alice: An Illustrated Look at Alice's Adventures in Wonderland,http://www.noelartmuseum.org,2021-09-16,2022-01-02,4909 E University Blvd,Odessa,79762
22,Canvas & Silk: Historic Fashion from Madrid's Museo del Traje,http://www.meadowsmuseumdallas.org,2021-09-19,2022-01-09,5900 Bishop Blvd.,Dallas,75205
23,Image & Identity: Mexican Fashion in the Modern Period,http://www.meadowsmuseumdallas.org,2021-09-19,2022-01-09,5900 Bishop Blvd.,Dallas,75205
24,Silent Sky,http://www.playhouse2000.com,2021-10-01,2021-10-17,"Playhouse 2000 VK Garage Theater, 305 Washington St.",Kerrville,78028
25,Texas State Railroad Diesel Train Ride,N/A,2021-10-01,2021-10-29,786 Park Road 70,Palestine,75801
26,Texas State Railroad Diesel Train Ride,http://www.TexasStateRailroad.net,2021-10-01,2021-10-29,786 Park Road 70,Palestine,75801
27,Happy Fall Y'all,http://www.naturalbridgecaverns.com,2021-10-02,2021-10-31,26495 Natural Bridge Caverns Road,San Antonio,78266
28,AAA Texas NHRA Fall Nationals at the Texas Motorplex,http://www.texasmotorplex.com,2021-10-07,2021-10-10,7500 U.S. Hwy 287,Ennis,75119
29,Come And Taste It - for The United Way,http://gruenemusicandwinefest.org/?fbclid=IwAR3RZflnv5XJ2cBwTAYwdKIs8sVDnxDe69ukh9AMX1wGzSlpnE6oZ5iiE8w,2021-10-07,2021-10-28,1612 Hunter Rd,New Braunfels,78130
30,49th Annual Cuero Turkeyfest,http://www.turkeyfest.org,2021-10-08,2021-10-10,1100 E Broadway St,Cuero,77954
31,27th Mesquite Arts Festival Fredericksburg,http://www.texasmesquiteartfestivals.com,2021-10-08,2021-10-10,"Marktplatz, 100 block of W. Main",Fredericksburg,78624
32,Bay Area Houston Ballet and Theatre Presents: Coppélia,http://www.bahbt.org/coppelia,2021-10-08,2021-10-10,2700 Bay Area Blvd.,Houston,77058
33,THE LEGEND OF SLEEPY HOLLOW,N/A,2021-10-08,2021-10-17,213 W. Crawford,Palestine,75801
34,LOCKED IN FEAR HAUNTED HOUSE,N/A,2021-10-08,2021-10-31,704 Ave. A,Palestine,75801
35,Pop-Up Beer Garden on the Trail,http://www.eventbrite.com/e/pop-up-beer-garden-on-the-trail-tickets-168111563211?aff=CommunityCalendar,2021-10-09,2021-10-10,111 Sandra Muraida Way,Austin,78703
36,Chappell Hill Scarecrow Festival,http://www.chappellhillhistoricalsociety.com,2021-10-09,2021-10-10,Downtown Chappell Hill,Chappell Hill,77426
37,Bayou City Art Festival Downtown,http://www.bayoucityartfestival.com,2021-10-09,2021-10-10,1000 Bagby St,Houston,77002
38,Wings Over Houston,http://wingsoverhouston.com,2021-10-09,2021-10-10,11210 Blume Ave,Houston,77034
39,Hill Country Gun Show,http://www.gunshowtrader.com,2021-10-09,2021-10-10,"Hill Country Veterans Center, 411 Meadowview Ln.",Kerrville,78028
40,Folkfest 2021,N/A,2021-10-09,2021-10-10,1370 Churchill Dr,New Braunfels,78130
41,Pearland Art & Crafts on the Pavilion,http://visitpearland.com/2021artshow/,2021-10-09,2021-10-10,11200 Broadway Street,Pearland,77584
42,"Fredericksburg Music Club: Nathaniel Mayfield, Trumpet",http://www.fredericksburgmusicclub.com/Schedule.html,2021-10-10,2021-10-10,"Fredericksburg United Methodist Church, 1800 N. Llano",Fredericksburg,78624
